"department","year","commodity_type","total_spending","total_contracts"
"Canada Border Services Agency",2017,"C","49311.74","4"
"Canada Border Services Agency",2018,"S","196520616.92","797"
"Canada Border Services Agency",2018,"G","42082239.78","325"
"Canada Border Services Agency",2018,"C","70346.36","5"
"Canada Border Services Agency",2018,NULL,"1980.09","1"
"Canada Border Services Agency",2019,"S","279135473.74","990"
"Canada Border Services Agency",2019,"G","36290844.20","523"
"Canada Border Services Agency",2019,"C","108300.15","7"
"Canada Border Services Agency",2019,NULL,"1980.09","1"
"Canada Border Services Agency",2020,"S","374471326.23","1072"
"Canada Border Services Agency",2020,"G","38004272.21","639"
"Canada Border Services Agency",2020,"C","60196.28","4"
"Canada Border Services Agency",2020,NULL,"1980.09","1"
"Canada Border Services Agency",2021,"S","443282321.95","1317"
"Canada Border Services Agency",2021,"G","42517519.64","684"
"Canada Border Services Agency",2021,"C","79376.68","4"
"Canada Border Services Agency",2021,NULL,"1980.09","1"
"Canada Border Services Agency",2022,"S","466294637.35","1294"
"Canada Border Services Agency",2022,"G","68164238.87","832"
"Canada Border Services Agency",2022,"C","285216.21","12"
"Canada Border Services Agency",2022,NULL,"1980.09","1"
"Canada Border Services Agency",2023,"S","471204861.44","1084"
"Canada Border Services Agency",2023,"G","59936528.47","688"
"Canada Border Services Agency",2023,"C","137515.47","5"
"Canada Border Services Agency",2023,NULL,"1980.09","1"
"Canada Border Services Agency",2024,"S","452350711.01","703"
"Canada Border Services Agency",2024,"G","68062828.10","553"
"Canada Border Services Agency",2024,"C","286750.32","3"
"Canada Border Services Agency",2025,"S","435555821.27","580"
"Canada Border Services Agency",2025,"G","87545108.77","543"
"Canada Border Services Agency",2025,"C","32328.64","2"
"Canada Border Services Agency",2026,"S","251820989.45","309"
"Canada Border Services Agency",2026,"G","52410075.65","243"
"Canada Economic Development for Quebec Regions",2017,"G","853983.37","21"
"Canada Economic Development for Quebec Regions",2017,"S","674931.48","32"
"Canada Economic Development for Quebec Regions",2017,NULL,"17560.84","1"
"Canada Economic Development for Quebec Regions",2018,"S","947104.40","40"
"Canada Economic Development for Quebec Regions",2018,"G","854943.92","27"
"Canada Economic Development for Quebec Regions",2019,"S","1313850.49","51"
"Canada Economic Development for Quebec Regions",2019,"G","715302.49","29"
"Canada Economic Development for Quebec Regions",2020,"S","1558104.13","52"
"Canada Economic Development for Quebec Regions",2020,"G","1103773.30","29"
"Canada Economic Development for Quebec Regions",2021,"S","1893206.03","57"
"Canada Economic Development for Quebec Regions",2021,"G","1057382.19","24"
"Canada Economic Development for Quebec Regions",2022,"S","2867263.49","64"
"Canada Economic Development for Quebec Regions",2022,"G","1517532.79","35"
"Canada Economic Development for Quebec Regions",2023,"S","2491965.71","53"
"Canada Economic Development for Quebec Regions",2023,"G","919867.78","41"
"Canada Economic Development for Quebec Regions",2024,"S","1755651.99","54"
"Canada Economic Development for Quebec Regions",2024,"G","1247784.29","34"
"Canada Economic Development for Quebec Regions",2025,"S","1132878.58","33"
"Canada Economic Development for Quebec Regions",2025,"G","497773.29","22"
"Canada Economic Development for Quebec Regions",2026,"S","407409.17","17"
"Canada Economic Development for Quebec Regions",2026,"G","199729.92","12"
"Canada Energy Regulator",2017,"S","16975018.23","152"
"Canada Energy Regulator",2017,"G","2477256.64","41"
"Canada Energy Regulator",2018,"S","20172337.65","206"
"Canada Energy Regulator",2018,"G","2104648.51","56"
"Canada Energy Regulator",2019,"S","25264808.30","190"
"Canada Energy Regulator",2019,"G","2398312.24","49"
"Canada Energy Regulator",2019,"C","10572.19","1"
"Canada Energy Regulator",2020,"S","26425248.63","191"
"Canada Energy Regulator",2020,"G","2445041.36","45"
"Canada Energy Regulator",2021,"S","30296662.51","214"
"Canada Energy Regulator",2021,"G","2428745.34","52"
"Canada Energy Regulator",2022,"S","23302958.52","226"
"Canada Energy Regulator",2022,"G","2300791.87","45"
"Canada Energy Regulator",2023,"S","14949120.76","182"
"Canada Energy Regulator",2023,"G","1939698.88","50"
"Canada Energy Regulator",2024,"S","14025711.16","152"
"Canada Energy Regulator",2024,"G","2056768.84","50"
"Canada Energy Regulator",2025,"S","13434700.20","120"
"Canada Energy Regulator",2025,"G","2253167.98","39"
"Canada Energy Regulator",2026,"S","7983339.44","61"
"Canada Energy Regulator",2026,"G","609324.69","20"
"Canada Revenue Agency",2017,"S","41207745.00","376"
"Canada Revenue Agency",2017,"G","12331891.37","169"
"Canada Revenue Agency",2017,NULL,"7371098.04","233"
"Canada Revenue Agency",2018,"S","93218018.60","670"
"Canada Revenue Agency",2018,"G","32429709.64","223"
"Canada Revenue Agency",2018,NULL,"20340.00","1"
"Canada Revenue Agency",2019,"S","104908171.21","630"
"Canada Revenue Agency",2019,"G","40142376.38","209"
"Canada Revenue Agency",2020,"S","119035873.33","672"
"Canada Revenue Agency",2020,"G","45238102.87","224"
"Canada Revenue Agency",2021,"S","143261876.10","675"
"Canada Revenue Agency",2021,"G","57563086.95","210"
"Canada Revenue Agency",2022,"S","180006576.89","1184"
"Canada Revenue Agency",2022,"G","62134945.58","247"
"Canada Revenue Agency",2023,"S","156567446.79","827"
"Canada Revenue Agency",2023,"G","60716850.75","302"
"Canada Revenue Agency",2024,"S","135858468.46","569"
"Canada Revenue Agency",2024,"G","44747037.86","232"
"Canada Revenue Agency",2025,"S","102558875.94","426"
"Canada Revenue Agency",2025,"G","37955854.19","149"
"Canada Revenue Agency",2026,"S","59545754.43","153"
"Canada Revenue Agency",2026,"G","14230637.60","52"
"Canada School of Public Service",2017,"S","4569862.31","43"
"Canada School of Public Service",2017,"G","1267124.45","32"
"Canada School of Public Service",2018,"S","5903344.17","89"
"Canada School of Public Service",2018,"G","1320499.42","40"
"Canada School of Public Service",2019,"G","4017873.65","70"
"Canada School of Public Service",2019,"S","3505262.93","121"
"Canada School of Public Service",2020,"S","9464784.44","109"
"Canada School of Public Service",2020,"G","1316994.96","42"
"Canada School of Public Service",2021,"S","9279756.19","82"
"Canada School of Public Service",2021,"G","1708288.94","49"
"Canada School of Public Service",2022,"S","10094392.12","94"
"Canada School of Public Service",2022,"G","1970130.34","54"
"Canada School of Public Service",2023,"S","10587439.62","111"
"Canada School of Public Service",2023,"G","2751614.20","66"
"Canada School of Public Service",2023,"C","5606.80","1"
"Canada School of Public Service",2024,"S","10465900.01","98"
"Canada School of Public Service",2024,"G","1723704.30","38"
"Canada School of Public Service",2024,"C","56456.80","2"
"Canada School of Public Service",2025,"S","11433495.86","94"
"Canada School of Public Service",2025,"G","2994143.57","60"
"Canada School of Public Service",2025,"C","50850.00","1"
"Canada School of Public Service",2026,"S","9434634.23","57"
"Canada School of Public Service",2026,"G","1206659.56","24"
"Canada School of Public Service",2026,"C","50850.00","1"
"Canada Water Agency",2017,"S","28281.64","1"
"Canada Water Agency",2018,"S","28281.64","1"
"Canada Water Agency",2019,"S","28281.64","1"
"Canada Water Agency",2020,"S","28281.64","1"
"Canada Water Agency",2021,"S","28281.64","1"
"Canada Water Agency",2022,"S","67562.47","2"
"Canada Water Agency",2023,"S","78131.85","3"
"Canada Water Agency",2024,"S","333548.14","15"
"Canada Water Agency",2024,"C","11130.00","1"
"Canada Water Agency",2025,"S","1259216.22","47"
"Canada Water Agency",2025,"C","122563.87","8"
"Canada Water Agency",2026,"S","812579.60","34"
"Canada Water Agency",2026,"C","111433.87","7"
"Canadian Centre for Occupational Health and Safety",2017,"S","285825.17","15"
"Canadian Centre for Occupational Health and Safety",2017,"G","207005.65","6"
"Canadian Centre for Occupational Health and Safety",2018,"S","542050.59","29"
"Canadian Centre for Occupational Health and Safety",2018,"G","207032.49","6"
"Canadian Centre for Occupational Health and Safety",2019,"S","414362.89","22"
"Canadian Centre for Occupational Health and Safety",2019,"G","195744.99","6"
"Canadian Centre for Occupational Health and Safety",2020,"G","527985.94","20"
"Canadian Centre for Occupational Health and Safety",2020,"S","439264.03","18"
"Canadian Centre for Occupational Health and Safety",2021,"G","530899.75","22"
"Canadian Centre for Occupational Health and Safety",2021,"S","467968.03","17"
"Canadian Centre for Occupational Health and Safety",2022,"G","866202.55","37"
"Canadian Centre for Occupational Health and Safety",2022,"S","528309.32","18"
"Canadian Centre for Occupational Health and Safety",2023,"G","888589.43","29"
"Canadian Centre for Occupational Health and Safety",2023,"S","563940.07","24"
"Canadian Centre for Occupational Health and Safety",2024,"G","990396.63","31"
"Canadian Centre for Occupational Health and Safety",2024,"S","488604.76","21"
"Canadian Centre for Occupational Health and Safety",2025,"G","826366.09","34"
"Canadian Centre for Occupational Health and Safety",2025,"S","367876.87","17"
"Canadian Centre for Occupational Health and Safety",2026,"G","545541.43","17"
"Canadian Centre for Occupational Health and Safety",2026,"S","72090.15","3"
"Canadian Food Inspection Agency",2017,"S","21655930.15","302"
"Canadian Food Inspection Agency",2017,"G","11383331.20","235"
"Canadian Food Inspection Agency",2017,"C","4800206.10","11"
"Canadian Food Inspection Agency",2018,"S","30034927.59","397"
"Canadian Food Inspection Agency",2018,"G","14406238.46","289"
"Canadian Food Inspection Agency",2018,"C","5769156.78","22"
"Canadian Food Inspection Agency",2019,"S","33381620.32","401"
"Canadian Food Inspection Agency",2019,"G","13144706.34","241"
"Canadian Food Inspection Agency",2019,"C","1815882.81","31"
"Canadian Food Inspection Agency",2020,"S","33278885.34","306"
"Canadian Food Inspection Agency",2020,"G","12026661.04","216"
"Canadian Food Inspection Agency",2020,"C","1965645.26","22"
"Canadian Food Inspection Agency",2021,"S","40513298.52","315"
"Canadian Food Inspection Agency",2021,"G","25523914.81","343"
"Canadian Food Inspection Agency",2021,"C","2392415.66","22"
"Canadian Food Inspection Agency",2022,"S","70077882.74","514"
"Canadian Food Inspection Agency",2022,"G","16990580.07","422"
"Canadian Food Inspection Agency",2022,"C","1996865.63","19"
"Canadian Food Inspection Agency",2023,"S","50182097.88","518"
"Canadian Food Inspection Agency",2023,"G","20201678.55","489"
"Canadian Food Inspection Agency",2023,"C","1206880.70","20"
"Canadian Food Inspection Agency",2024,"S","44341551.18","427"
"Canadian Food Inspection Agency",2024,"G","19886692.21","438"
"Canadian Food Inspection Agency",2024,"C","705335.41","17"
"Canadian Food Inspection Agency",2025,"G","46413810.98","426"
"Canadian Food Inspection Agency",2025,"S","40326264.01","375"
"Canadian Food Inspection Agency",2025,"C","544475.88","10"
"Canadian Food Inspection Agency",2026,"S","17903921.57","144"
"Canadian Food Inspection Agency",2026,"G","8696205.25","195"
"Canadian Food Inspection Agency",2026,"C","56604.63","3"
"Canadian Grain Commission",2017,"G","2443783.84","70"
"Canadian Grain Commission",2017,"S","1418983.71","61"
"Canadian Grain Commission",2017,"C","3757.43","1"
"Canadian Grain Commission",2018,"G","3249742.66","75"
"Canadian Grain Commission",2018,"S","1697467.52","90"
"Canadian Grain Commission",2018,"C","12067.65","2"
"Canadian Grain Commission",2019,"G","3875558.65","81"
"Canadian Grain Commission",2019,"S","1681924.57","109"
"Canadian Grain Commission",2019,"C","12067.65","2"
"Canadian Grain Commission",2020,"G","2236613.23","69"
"Canadian Grain Commission",2020,"S","2005121.83","114"
"Canadian Grain Commission",2020,"C","24074.09","3"
"Canadian Grain Commission",2021,"G","3532813.34","96"
"Canadian Grain Commission",2021,"S","2105388.52","104"
"Canadian Grain Commission",2021,"C","167572.79","5"
"Canadian Grain Commission",2022,"G","4145334.69","98"
"Canadian Grain Commission",2022,"S","2290385.74","92"
"Canadian Grain Commission",2022,"C","177467.22","5"
"Canadian Grain Commission",2023,"G","4286370.13","112"
"Canadian Grain Commission",2023,"S","2024972.78","88"
"Canadian Grain Commission",2023,"C","61559.61","4"
"Canadian Grain Commission",2024,"G","3919961.31","115"
"Canadian Grain Commission",2024,"S","2135314.73","94"
"Canadian Grain Commission",2024,"C","20316.66","2"
"Canadian Grain Commission",2025,"G","4325009.79","109"
"Canadian Grain Commission",2025,"S","2195831.68","97"
"Canadian Grain Commission",2025,"C","34253.59","2"
"Canadian Grain Commission",2026,"G","1744939.73","42"
"Canadian Grain Commission",2026,"S","1333432.11","60"
"Canadian Grain Commission",2026,"C","28757.98","1"
"Canadian Heritage",2017,"S","37984801.94","358"
"Canadian Heritage",2017,"G","8159611.43","127"
"Canadian Heritage",2017,"C","160789.58","7"
"Canadian Heritage",2017,NULL,"86188.00","3"
"Canadian Heritage",2018,"S","46560854.55","465"
"Canadian Heritage",2018,"G","11232177.09","162"
"Canadian Heritage",2018,"C","263100.46","10"
"Canadian Heritage",2018,NULL,"165905.83","4"
"Canadian Heritage",2019,"S","21783319.70","394"
"Canadian Heritage",2019,"G","5104174.85","99"
"Canadian Heritage",2019,"C","60219.05","3"
"Canadian Heritage",2019,NULL,"58378.33","0"
"Canadian Heritage",2020,"S","18520823.19","412"
"Canadian Heritage",2020,"G","4674649.43","111"
"Canadian Heritage",2020,NULL,"36600.83","0"
"Canadian Heritage",2020,"C","8136.00","1"
"Canadian Heritage",2021,"S","23834822.68","422"
"Canadian Heritage",2021,"G","7542935.80","115"
"Canadian Heritage",2021,"C","27455.03","2"
"Canadian Heritage",2022,"S","26573791.33","495"
"Canadian Heritage",2022,"G","5419951.32","103"
"Canadian Heritage",2022,"C","47361.10","4"
"Canadian Heritage",2023,"S","21582081.92","411"
"Canadian Heritage",2023,"G","3694664.75","97"
"Canadian Heritage",2023,"C","27411.49","3"
"Canadian Heritage",2024,"S","26383838.41","453"
"Canadian Heritage",2024,"G","3696712.23","92"
"Canadian Heritage",2024,"C","7505.42","1"
"Canadian Heritage",2025,"S","24469225.38","395"
"Canadian Heritage",2025,"G","3591473.20","74"
"Canadian Heritage",2026,"S","13427837.13","130"
"Canadian Heritage",2026,"G","1876439.12","36"
"Canadian Human Rights Commission",2017,"S","75265.75","4"
"Canadian Human Rights Commission",2018,"G","1011873.68","11"
"Canadian Human Rights Commission",2018,"S","815969.38","43"
"Canadian Human Rights Commission",2019,"S","1816770.28","83"
"Canadian Human Rights Commission",2019,"G","696634.82","25"
"Canadian Human Rights Commission",2020,"S","2865084.29","107"
"Canadian Human Rights Commission",2020,"G","533555.90","22"
"Canadian Human Rights Commission",2021,"S","3745291.19","139"
"Canadian Human Rights Commission",2021,"G","820256.65","32"
"Canadian Human Rights Commission",2022,"S","4186383.22","148"
"Canadian Human Rights Commission",2022,"G","467462.53","22"
"Canadian Human Rights Commission",2023,"S","3558234.94","137"
"Canadian Human Rights Commission",2023,"G","1862448.13","50"
"Canadian Human Rights Commission",2024,"S","3145275.87","94"
"Canadian Human Rights Commission",2024,"G","1112001.15","31"
"Canadian Human Rights Commission",2025,"S","1915615.09","61"
"Canadian Human Rights Commission",2025,"G","1250387.18","24"
"Canadian Human Rights Commission",2026,"S","1309695.88","35"
"Canadian Human Rights Commission",2026,"G","111720.94","4"
"Canadian Institutes of Health Research",2017,"S","7578357.12","117"
"Canadian Institutes of Health Research",2017,"G","2116348.12","61"
"Canadian Institutes of Health Research",2018,"S","7263484.57","106"
"Canadian Institutes of Health Research",2018,"G","2139823.20","62"
"Canadian Institutes of Health Research",2019,"S","9910617.18","216"
"Canadian Institutes of Health Research",2019,"G","1909549.57","65"
"Canadian Institutes of Health Research",2020,"S","4736386.07","137"
"Canadian Institutes of Health Research",2020,"G","2334681.86","72"
"Canadian Institutes of Health Research",2021,"S","2932357.47","75"
"Canadian Institutes of Health Research",2021,"G","2034182.66","68"
"Canadian Institutes of Health Research",2022,"S","3483308.30","97"
"Canadian Institutes of Health Research",2022,"G","2196745.98","63"
"Canadian Institutes of Health Research",2023,"S","5157551.94","148"
"Canadian Institutes of Health Research",2023,"G","2343688.11","65"
"Canadian Institutes of Health Research",2024,"S","4930280.54","98"
"Canadian Institutes of Health Research",2024,"G","1737474.95","50"
"Canadian Institutes of Health Research",2025,"S","3215267.01","55"
"Canadian Institutes of Health Research",2025,"G","1485277.99","42"
"Canadian Institutes of Health Research",2025,"C","18630.78","1"
"Canadian Institutes of Health Research",2026,"S","1478825.12","25"
"Canadian Institutes of Health Research",2026,"G","427196.36","17"
"Canadian Institutes of Health Research",2026,"C","18630.78","1"
"Canadian Intergovernmental Conference Secretariat",2017,"S","12401.75","1"
"Canadian Intergovernmental Conference Secretariat",2017,"G","3875.07","1"
"Canadian Intergovernmental Conference Secretariat",2018,"S","277268.54","18"
"Canadian Intergovernmental Conference Secretariat",2018,"G","69650.21","5"
"Canadian Intergovernmental Conference Secretariat",2019,"S","500117.40","33"
"Canadian Intergovernmental Conference Secretariat",2019,"G","225898.28","4"
"Canadian Intergovernmental Conference Secretariat",2020,"S","265136.64","19"
"Canadian Intergovernmental Conference Secretariat",2020,"G","28249.95","2"
"Canadian Intergovernmental Conference Secretariat",2021,"S","244788.59","15"
"Canadian Intergovernmental Conference Secretariat",2021,"G","6045.50","1"
"Canadian Intergovernmental Conference Secretariat",2022,"S","1048485.10","52"
"Canadian Intergovernmental Conference Secretariat",2022,"G","66545.86","5"
"Canadian Intergovernmental Conference Secretariat",2023,"S","1023690.89","49"
"Canadian Intergovernmental Conference Secretariat",2023,"G","293854.89","12"
"Canadian Intergovernmental Conference Secretariat",2024,"S","913399.07","52"
"Canadian Intergovernmental Conference Secretariat",2024,"G","378750.54","15"
"Canadian Intergovernmental Conference Secretariat",2025,"S","741965.44","50"
"Canadian Intergovernmental Conference Secretariat",2025,"G","95564.59","8"
"Canadian Intergovernmental Conference Secretariat",2026,"S","6735.89","1"
"Canadian Intergovernmental Conference Secretariat",2026,"G","3575.00","1"
"Canadian Northern Economic Development Agency",2017,"S","132191.48","7"
"Canadian Northern Economic Development Agency",2017,"G","21182.84","1"
"Canadian Northern Economic Development Agency",2018,"S","610359.10","18"
"Canadian Northern Economic Development Agency",2018,"G","242952.51","3"
"Canadian Northern Economic Development Agency",2019,"S","555144.17","26"
"Canadian Northern Economic Development Agency",2019,"G","100864.56","6"
"Canadian Northern Economic Development Agency",2020,"S","531187.55","22"
"Canadian Northern Economic Development Agency",2020,"G","35000.25","3"
"Canadian Northern Economic Development Agency",2021,"S","206833.46","15"
"Canadian Northern Economic Development Agency",2021,"C","15519.00","1"
"Canadian Northern Economic Development Agency",2022,"S","281508.35","17"
"Canadian Northern Economic Development Agency",2022,"G","164742.43","2"
"Canadian Northern Economic Development Agency",2022,"C","17643.26","1"
"Canadian Northern Economic Development Agency",2023,"S","158491.25","9"
"Canadian Northern Economic Development Agency",2024,"S","37513.75","4"
"Canadian Northern Economic Development Agency",2025,"S","12628.75","3"
"Canadian Nuclear Safety Commission",2017,"S","5270033.11","126"
"Canadian Nuclear Safety Commission",2017,"G","2131566.54","51"
"Canadian Nuclear Safety Commission",2018,"S","9186372.65","190"
"Canadian Nuclear Safety Commission",2018,"G","1694266.32","54"
"Canadian Nuclear Safety Commission",2019,"S","8958278.91","179"
"Canadian Nuclear Safety Commission",2019,"G","2327514.41","58"
"Canadian Nuclear Safety Commission",2020,"S","8965545.04","178"
"Canadian Nuclear Safety Commission",2020,"G","4291585.31","100"
"Canadian Nuclear Safety Commission",2021,"S","11729991.89","206"
"Canadian Nuclear Safety Commission",2021,"G","4109950.34","105"
"Canadian Nuclear Safety Commission",2021,"C","17341.52","1"
"Canadian Nuclear Safety Commission",2022,"S","11453320.84","202"
"Canadian Nuclear Safety Commission",2022,"G","3324630.03","93"
"Canadian Nuclear Safety Commission",2023,"S","11380886.32","205"
"Canadian Nuclear Safety Commission",2023,"G","3230721.07","78"
"Canadian Nuclear Safety Commission",2024,"S","11739187.91","197"
"Canadian Nuclear Safety Commission",2024,"G","4789176.56","84"
"Canadian Nuclear Safety Commission",2025,"S","11575915.55","207"
"Canadian Nuclear Safety Commission",2025,"G","4734207.31","89"
"Canadian Nuclear Safety Commission",2026,"S","6601906.51","102"
"Canadian Nuclear Safety Commission",2026,"G","2335629.18","38"
"Canadian Radio-television and Telecommunications Commission",2017,"S","4200538.11","59"
"Canadian Radio-television and Telecommunications Commission",2017,"G","1046706.26","43"
"Canadian Radio-television and Telecommunications Commission",2018,"S","9583163.83","121"
"Canadian Radio-television and Telecommunications Commission",2018,"G","1524222.24","57"
"Canadian Radio-television and Telecommunications Commission",2019,"S","12247978.48","125"
"Canadian Radio-television and Telecommunications Commission",2019,"G","1804789.39","44"
"Canadian Radio-television and Telecommunications Commission",2020,"S","16485124.06","132"
"Canadian Radio-television and Telecommunications Commission",2020,"G","1655386.77","48"
"Canadian Radio-television and Telecommunications Commission",2021,"S","14815061.61","110"
"Canadian Radio-television and Telecommunications Commission",2021,"G","1984672.39","57"
"Canadian Radio-television and Telecommunications Commission",2022,"S","11159599.67","113"
"Canadian Radio-television and Telecommunications Commission",2022,"G","887951.95","35"
"Canadian Radio-television and Telecommunications Commission",2023,"S","6977307.74","116"
"Canadian Radio-television and Telecommunications Commission",2023,"G","2089823.04","41"
"Canadian Radio-television and Telecommunications Commission",2023,"C","10463.88","1"
"Canadian Radio-television and Telecommunications Commission",2024,"S","6794507.56","120"
"Canadian Radio-television and Telecommunications Commission",2024,"G","2782587.89","71"
"Canadian Radio-television and Telecommunications Commission",2024,"C","24834.27","2"
"Canadian Radio-television and Telecommunications Commission",2025,"S","6200345.63","130"
"Canadian Radio-television and Telecommunications Commission",2025,"G","3201604.32","68"
"Canadian Radio-television and Telecommunications Commission",2025,"C","50515.91","3"
"Canadian Radio-television and Telecommunications Commission",2026,"S","3995877.14","65"
"Canadian Radio-television and Telecommunications Commission",2026,"G","676762.39","18"
"Canadian Radio-television and Telecommunications Commission",2026,"C","14370.39","0"
"Canadian Space Agency",2017,"S","16295268.16","242"
"Canadian Space Agency",2017,"G","3157136.96","65"
"Canadian Space Agency",2017,"C","2180961.82","17"
"Canadian Space Agency",2018,"S","25881962.15","328"
"Canadian Space Agency",2018,"G","3764851.26","93"
"Canadian Space Agency",2018,"C","2077040.18","22"
"Canadian Space Agency",2019,"S","45790565.82","368"
"Canadian Space Agency",2019,"G","3946580.13","96"
"Canadian Space Agency",2019,"C","2417435.07","34"
"Canadian Space Agency",2020,"S","768066282.39","357"
"Canadian Space Agency",2020,"G","3760527.44","91"
"Canadian Space Agency",2020,"C","2433121.79","41"
"Canadian Space Agency",2021,"S","245544810.68","365"
"Canadian Space Agency",2021,"G","4821861.82","110"
"Canadian Space Agency",2021,"C","3123052.43","43"
