"department","year","solicitation_procedure","total_spending","total_contracts"
"Accessibility Standards Canada",2020,"TN","353925.76","11"
"Accessibility Standards Canada",2021,"TN","1001724.27","31"
"Accessibility Standards Canada",2021,"OB","125000.00","1"
"Accessibility Standards Canada",2021,"TC","62574.10","2"
"Accessibility Standards Canada",2022,"TN","1645319.63","46"
"Accessibility Standards Canada",2022,"TC","283187.83","8"
"Accessibility Standards Canada",2022,"ST","208967.07","2"
"Accessibility Standards Canada",2022,"OB","127398.70","2"
"Accessibility Standards Canada",2022,"AC","115012.23","1"
"Accessibility Standards Canada",2023,"TN","1930620.88","57"
"Accessibility Standards Canada",2023,"TC","738626.51","8"
"Accessibility Standards Canada",2023,"AC","576003.00","4"
"Accessibility Standards Canada",2023,"OB","127398.70","2"
"Accessibility Standards Canada",2023,"ST","36644.35","1"
"Accessibility Standards Canada",2024,"TC","1400370.72","16"
"Accessibility Standards Canada",2024,"TN","809548.69","32"
"Accessibility Standards Canada",2024,"ST","760809.76","9"
"Accessibility Standards Canada",2024,"OB","535941.28","11"
"Accessibility Standards Canada",2024,"AC","263240.78","3"
"Accessibility Standards Canada",2025,"TC","1417875.67","23"
"Accessibility Standards Canada",2025,"TN","1416015.80","27"
"Accessibility Standards Canada",2025,"ST","1249111.00","15"
"Accessibility Standards Canada",2025,"OB","476550.06","9"
"Accessibility Standards Canada",2025,"AC","76293.58","1"
"Accessibility Standards Canada",2026,"OB","458470.06","6"
"Accessibility Standards Canada",2026,"TC","342340.43","5"
"Accessibility Standards Canada",2026,"ST","261324.98","5"
"Accessibility Standards Canada",2026,"TN","232855.90","10"
"Administrative Tribunals Support Service of Canada",2017,"OB","3037121.61","11"
"Administrative Tribunals Support Service of Canada",2017,"TC","2150530.50","32"
"Administrative Tribunals Support Service of Canada",2017,"TN","1286417.88","50"
"Administrative Tribunals Support Service of Canada",2017,"AC","51247.73","1"
"Administrative Tribunals Support Service of Canada",2018,"OB","4754775.20","40"
"Administrative Tribunals Support Service of Canada",2018,"TC","2439830.77","46"
"Administrative Tribunals Support Service of Canada",2018,"TN","1714131.45","78"
"Administrative Tribunals Support Service of Canada",2018,"AC","51247.73","0"
"Administrative Tribunals Support Service of Canada",2019,"OB","8051115.10","55"
"Administrative Tribunals Support Service of Canada",2019,"TN","3028257.52","65"
"Administrative Tribunals Support Service of Canada",2019,"TC","1733184.25","33"
"Administrative Tribunals Support Service of Canada",2019,"AC","51247.73","0"
"Administrative Tribunals Support Service of Canada",2020,"OB","8092784.15","34"
"Administrative Tribunals Support Service of Canada",2020,"TN","1553993.56","46"
"Administrative Tribunals Support Service of Canada",2020,"TC","1267139.55","27"
"Administrative Tribunals Support Service of Canada",2020,"AC","35088.38","0"
"Administrative Tribunals Support Service of Canada",2021,"OB","10846409.15","45"
"Administrative Tribunals Support Service of Canada",2021,"TN","1662933.30","58"
"Administrative Tribunals Support Service of Canada",2021,"ST","1124604.25","2"
"Administrative Tribunals Support Service of Canada",2021,"TC","785128.05","24"
"Administrative Tribunals Support Service of Canada",2022,"OB","7025759.48","30"
"Administrative Tribunals Support Service of Canada",2022,"TN","2247978.00","86"
"Administrative Tribunals Support Service of Canada",2022,"ST","1065118.57","4"
"Administrative Tribunals Support Service of Canada",2022,"TC","889662.15","19"
"Administrative Tribunals Support Service of Canada",2022,"AC","172000.00","1"
"Administrative Tribunals Support Service of Canada",2023,"OB","4985808.57","16"
"Administrative Tribunals Support Service of Canada",2023,"TN","2916630.46","105"
"Administrative Tribunals Support Service of Canada",2023,"ST","1966876.94","13"
"Administrative Tribunals Support Service of Canada",2023,"TC","1065089.00","21"
"Administrative Tribunals Support Service of Canada",2023,"AC","172000.00","0"
"Administrative Tribunals Support Service of Canada",2024,"OB","3353410.21","15"
"Administrative Tribunals Support Service of Canada",2024,"TN","2213682.88","63"
"Administrative Tribunals Support Service of Canada",2024,"ST","1982581.37","14"
"Administrative Tribunals Support Service of Canada",2024,"TC","1514116.62","33"
"Administrative Tribunals Support Service of Canada",2024,"AC","172000.00","0"
"Administrative Tribunals Support Service of Canada",2025,"TN","2520430.01","70"
"Administrative Tribunals Support Service of Canada",2025,"TC","1221518.35","28"
"Administrative Tribunals Support Service of Canada",2025,"OB","1012298.95","12"
"Administrative Tribunals Support Service of Canada",2025,"ST","408001.99","13"
"Administrative Tribunals Support Service of Canada",2025,"AC","172000.00","0"
"Administrative Tribunals Support Service of Canada",2026,"TN","1020709.89","27"
"Administrative Tribunals Support Service of Canada",2026,"TC","306532.20","10"
"Administrative Tribunals Support Service of Canada",2026,"ST","208013.40","5"
"Administrative Tribunals Support Service of Canada",2026,"AC","172000.00","0"
"Administrative Tribunals Support Service of Canada",2026,"OB","140544.88","3"
"Agriculture and Agri-Food Canada",2017,"TC","30988564.38","1052"
"Agriculture and Agri-Food Canada",2017,"OB","22726631.39","392"
"Agriculture and Agri-Food Canada",2017,"TN","10270630.19","412"
"Agriculture and Agri-Food Canada",2017,"AC","1966023.32","29"
"Agriculture and Agri-Food Canada",2017,"ST","122524.29","1"
"Agriculture and Agri-Food Canada",2018,"OB","42212381.91","494"
"Agriculture and Agri-Food Canada",2018,"TC","38465538.07","1189"
"Agriculture and Agri-Food Canada",2018,"TN","18109172.78","654"
"Agriculture and Agri-Food Canada",2018,"AC","2682023.62","67"
"Agriculture and Agri-Food Canada",2018,"ST","533693.62","3"
"Agriculture and Agri-Food Canada",2019,"OB","39113245.54","483"
"Agriculture and Agri-Food Canada",2019,"TC","38922958.56","1102"
"Agriculture and Agri-Food Canada",2019,"TN","24719988.38","811"
"Agriculture and Agri-Food Canada",2019,"AC","3184266.32","65"
"Agriculture and Agri-Food Canada",2019,"ST","646693.62","1"
"Agriculture and Agri-Food Canada",2020,"OB","52936212.34","589"
"Agriculture and Agri-Food Canada",2020,"TC","30110009.93","858"
"Agriculture and Agri-Food Canada",2020,"TN","25437862.22","793"
"Agriculture and Agri-Food Canada",2020,"AC","5795252.61","55"
"Agriculture and Agri-Food Canada",2020,"ST","2326525.49","8"
"Agriculture and Agri-Food Canada",2021,"OB","56526099.84","628"
"Agriculture and Agri-Food Canada",2021,"TC","30215026.45","683"
"Agriculture and Agri-Food Canada",2021,"TN","24486326.05","889"
"Agriculture and Agri-Food Canada",2021,"ST","9040242.86","51"
"Agriculture and Agri-Food Canada",2021,"AC","4955673.78","58"
"Agriculture and Agri-Food Canada",2022,"OB","59065126.04","614"
"Agriculture and Agri-Food Canada",2022,"TN","28290195.82","991"
"Agriculture and Agri-Food Canada",2022,"TC","23515982.88","562"
"Agriculture and Agri-Food Canada",2022,"ST","15953026.18","76"
"Agriculture and Agri-Food Canada",2022,"AC","5112786.16","58"
"Agriculture and Agri-Food Canada",2023,"OB","63125048.18","548"
"Agriculture and Agri-Food Canada",2023,"TN","30024682.22","1061"
"Agriculture and Agri-Food Canada",2023,"ST","21979450.82","97"
"Agriculture and Agri-Food Canada",2023,"TC","19265986.80","561"
"Agriculture and Agri-Food Canada",2023,"AC","5273769.56","56"
"Agriculture and Agri-Food Canada",2024,"OB","55835025.35","556"
"Agriculture and Agri-Food Canada",2024,"TN","31934247.86","1157"
"Agriculture and Agri-Food Canada",2024,"ST","23121361.64","115"
"Agriculture and Agri-Food Canada",2024,"TC","19054300.34","616"
"Agriculture and Agri-Food Canada",2024,"AC","5182480.15","41"
"Agriculture and Agri-Food Canada",2025,"OB","54778753.63","348"
"Agriculture and Agri-Food Canada",2025,"ST","27888852.18","157"
"Agriculture and Agri-Food Canada",2025,"TN","27614461.80","1058"
"Agriculture and Agri-Food Canada",2025,"TC","18403137.18","560"
"Agriculture and Agri-Food Canada",2025,"AC","5152579.64","34"
"Agriculture and Agri-Food Canada",2026,"OB","30090948.53","115"
"Agriculture and Agri-Food Canada",2026,"ST","15404928.47","64"
"Agriculture and Agri-Food Canada",2026,"TN","9344814.99","338"
"Agriculture and Agri-Food Canada",2026,"TC","6356201.83","161"
"Agriculture and Agri-Food Canada",2026,"AC","1819389.80","20"
"Atlantic Canada Opportunities Agency",2017,"TC","1427054.35","48"
"Atlantic Canada Opportunities Agency",2017,"TN","489395.10","24"
"Atlantic Canada Opportunities Agency",2017,NULL,"6855.21","1"
"Atlantic Canada Opportunities Agency",2018,"TC","1564773.86","66"
"Atlantic Canada Opportunities Agency",2018,"TN","941504.24","47"
"Atlantic Canada Opportunities Agency",2018,NULL,"6855.21","1"
"Atlantic Canada Opportunities Agency",2019,"TC","2553864.02","91"
"Atlantic Canada Opportunities Agency",2019,"TN","1358581.37","51"
"Atlantic Canada Opportunities Agency",2020,"TC","1732482.91","83"
"Atlantic Canada Opportunities Agency",2020,"TN","1397529.29","41"
"Atlantic Canada Opportunities Agency",2020,"AC","40250.00","1"
"Atlantic Canada Opportunities Agency",2021,"TC","2152609.68","82"
"Atlantic Canada Opportunities Agency",2021,"TN","1737331.33","51"
"Atlantic Canada Opportunities Agency",2021,"OB","59315.62","1"
"Atlantic Canada Opportunities Agency",2021,"AC","40250.00","1"
"Atlantic Canada Opportunities Agency",2022,"TC","1844149.99","71"
"Atlantic Canada Opportunities Agency",2022,"TN","1810112.29","65"
"Atlantic Canada Opportunities Agency",2022,"ST","22499.99","2"
"Atlantic Canada Opportunities Agency",2023,"TC","1932693.67","63"
"Atlantic Canada Opportunities Agency",2023,"TN","966731.23","46"
"Atlantic Canada Opportunities Agency",2023,"AC","104970.40","2"
"Atlantic Canada Opportunities Agency",2023,"ST","7500.00","1"
"Atlantic Canada Opportunities Agency",2024,"TC","1824142.23","82"
"Atlantic Canada Opportunities Agency",2024,"TN","860515.33","39"
"Atlantic Canada Opportunities Agency",2024,"AC","71837.11","1"
"Atlantic Canada Opportunities Agency",2024,"OB","66666.67","2"
"Atlantic Canada Opportunities Agency",2025,"TC","1294957.74","58"
"Atlantic Canada Opportunities Agency",2025,"TN","913687.04","36"
"Atlantic Canada Opportunities Agency",2025,"OB","134696.36","3"
"Atlantic Canada Opportunities Agency",2025,"AC","104993.73","2"
"Atlantic Canada Opportunities Agency",2026,"TC","548108.66","22"
"Atlantic Canada Opportunities Agency",2026,"TN","329693.99","15"
"Atlantic Canada Opportunities Agency",2026,"OB","134696.36","3"
"Atlantic Canada Opportunities Agency",2026,"AC","38307.02","1"
"Canada Border Services Agency",2017,"OB","47629709.03","281"
"Canada Border Services Agency",2017,"TC","21880770.77","185"
"Canada Border Services Agency",2017,"TN","15539850.79","124"
"Canada Border Services Agency",2017,"ST","3084402.20","3"
"Canada Border Services Agency",2017,"AC","351049.25","3"
"Canada Border Services Agency",2018,"TC","99768096.28","426"
"Canada Border Services Agency",2018,"OB","96725843.71","434"
"Canada Border Services Agency",2018,"ST","20763133.02","39"
"Canada Border Services Agency",2018,"TN","15320207.74","217"
"Canada Border Services Agency",2018,"AC","6097902.39","12"
"Canada Border Services Agency",2019,"OB","145888297.80","733"
"Canada Border Services Agency",2019,"TC","125814900.52","515"
"Canada Border Services Agency",2019,"TN","19396511.67","232"
"Canada Border Services Agency",2019,"ST","18546346.03","32"
"Canada Border Services Agency",2019,"AC","5890542.17","9"
"Canada Border Services Agency",2020,"OB","237415594.28","884"
"Canada Border Services Agency",2020,"TC","115769440.15","468"
"Canada Border Services Agency",2020,"TN","38666756.01","337"
"Canada Border Services Agency",2020,"ST","13780089.38","12"
"Canada Border Services Agency",2020,"AC","6012854.67","6"
"Canada Border Services Agency",2020,NULL,"893040.30","9"
"Canada Border Services Agency",2021,"OB","304866717.07","1101"
"Canada Border Services Agency",2021,"TC","117442401.31","471"
"Canada Border Services Agency",2021,"TN","43447563.46","392"
"Canada Border Services Agency",2021,"ST","12703227.12","29"
"Canada Border Services Agency",2021,"AC","6672867.47","8"
"Canada Border Services Agency",2021,NULL,"748421.94","5"
"Canada Border Services Agency",2022,"OB","321001766.69","1192"
"Canada Border Services Agency",2022,"TC","145093312.75","561"
"Canada Border Services Agency",2022,"TN","42139124.66","324"
"Canada Border Services Agency",2022,"ST","19254198.22","53"
"Canada Border Services Agency",2022,"AC","6672867.47","6"
"Canada Border Services Agency",2022,NULL,"584802.74","3"
"Canada Border Services Agency",2023,"OB","313016614.97","997"
"Canada Border Services Agency",2023,"TC","128988856.99","426"
"Canada Border Services Agency",2023,"TN","49279846.69","244"
"Canada Border Services Agency",2023,"ST","29191273.53","98"
"Canada Border Services Agency",2023,"AC","10219490.55","10"
"Canada Border Services Agency",2023,NULL,"584802.74","3"
"Canada Border Services Agency",2024,"OB","320403829.60","745"
"Canada Border Services Agency",2024,"TC","96009634.69","178"
"Canada Border Services Agency",2024,"TN","65875726.36","212"
"Canada Border Services Agency",2024,"ST","28158140.37","109"
"Canada Border Services Agency",2024,"AC","10145124.96","15"
"Canada Border Services Agency",2024,NULL,"107833.44","0"
"Canada Border Services Agency",2025,"OB","385974949.92","711"
"Canada Border Services Agency",2025,"TC","67229228.06","129"
"Canada Border Services Agency",2025,"TN","43078977.84","190"
"Canada Border Services Agency",2025,"ST","21931519.63","90"
"Canada Border Services Agency",2025,"AC","4918583.22","5"
"Canada Border Services Agency",2026,"OB","226692602.12","349"
"Canada Border Services Agency",2026,"TC","51216323.20","58"
"Canada Border Services Agency",2026,"TN","12674117.07","92"
"Canada Border Services Agency",2026,"ST","10703501.42","52"
"Canada Border Services Agency",2026,"AC","2944521.29","1"
"Canada Economic Development for Quebec Regions",2017,"TC","1049541.54","36"
"Canada Economic Development for Quebec Regions",2017,"TN","479373.32","17"
"Canada Economic Development for Quebec Regions",2017,NULL,"17560.84","1"
"Canada Economic Development for Quebec Regions",2018,"TC","983872.78","32"
"Canada Economic Development for Quebec Regions",2018,"TN","818175.54","35"
"Canada Economic Development for Quebec Regions",2019,"TC","1021547.78","38"
"Canada Economic Development for Quebec Regions",2019,"TN","986526.45","41"
"Canada Economic Development for Quebec Regions",2019,"AC","21078.75","1"
"Canada Economic Development for Quebec Regions",2020,"TC","1478412.58","43"
"Canada Economic Development for Quebec Regions",2020,"TN","954768.27","35"
"Canada Economic Development for Quebec Regions",2020,"OB","207617.84","2"
"Canada Economic Development for Quebec Regions",2020,"AC","21078.75","1"
"Canada Economic Development for Quebec Regions",2021,"TC","1656175.57","36"
"Canada Economic Development for Quebec Regions",2021,"TN","1065716.06","43"
"Canada Economic Development for Quebec Regions",2021,"OB","207617.84","1"
"Canada Economic Development for Quebec Regions",2021,"AC","21078.75","1"
"Canada Economic Development for Quebec Regions",2022,"TC","2670941.01","51"
"Canada Economic Development for Quebec Regions",2022,"TN","895672.03","40"
"Canada Economic Development for Quebec Regions",2022,"ST","660003.69","7"
"Canada Economic Development for Quebec Regions",2022,"OB","158179.55","1"
"Canada Economic Development for Quebec Regions",2023,"TC","1937811.91","57"
"Canada Economic Development for Quebec Regions",2023,"ST","964457.90","5"
"Canada Economic Development for Quebec Regions",2023,"TN","455304.11","31"
"Canada Economic Development for Quebec Regions",2023,"OB","54259.58","1"
"Canada Economic Development for Quebec Regions",2024,"TC","1756293.70","45"
"Canada Economic Development for Quebec Regions",2024,"TN","585075.62","37"
"Canada Economic Development for Quebec Regions",2024,"ST","558184.74","4"
"Canada Economic Development for Quebec Regions",2024,"OB","103882.23","2"
"Canada Economic Development for Quebec Regions",2025,"TC","900800.75","26"
"Canada Economic Development for Quebec Regions",2025,"TN","476735.50","28"
"Canada Economic Development for Quebec Regions",2025,"ST","253115.63","1"
"Canada Economic Development for Quebec Regions",2026,"TC","406020.75","14"
"Canada Economic Development for Quebec Regions",2026,"TN","201118.34","15"
"Canada Energy Regulator",2017,"OB","17146781.61","92"
"Canada Energy Regulator",2017,"TN","1154810.66","79"
"Canada Energy Regulator",2017,"TC","642009.76","12"
"Canada Energy Regulator",2017,"AC","410711.10","8"
"Canada Energy Regulator",2017,NULL,"97961.75","2"
"Canada Energy Regulator",2018,"OB","16643351.81","139"
"Canada Energy Regulator",2018,"AC","2880436.63","10"
"Canada Energy Regulator",2018,"TC","1612490.10","33"
"Canada Energy Regulator",2018,"TN","1042270.12","79"
"Canada Energy Regulator",2018,"ST","98437.50","1"
"Canada Energy Regulator",2019,"OB","23458815.91","131"
"Canada Energy Regulator",2019,"TC","1855805.96","32"
"Canada Energy Regulator",2019,"TN","1548373.91","71"
"Canada Energy Regulator",2019,"AC","712259.47","5"
"Canada Energy Regulator",2019,"ST","98437.50","1"
"Canada Energy Regulator",2020,"OB","23284859.66","114"
"Canada Energy Regulator",2020,"TC","2271736.07","33"
"Canada Energy Regulator",2020,"TN","1681355.28","80"
"Canada Energy Regulator",2020,"ST","868652.69","4"
"Canada Energy Regulator",2020,"AC","763686.30","5"
"Canada Energy Regulator",2021,"OB","22184854.65","81"
"Canada Energy Regulator",2021,"ST","3940147.44","7"
"Canada Energy Regulator",2021,"TN","2650037.76","104"
"Canada Energy Regulator",2021,"TC","2516939.93","63"
"Canada Energy Regulator",2021,"AC","1433428.08","11"
"Canada Energy Regulator",2022,"OB","15854693.05","78"
"Canada Energy Regulator",2022,"ST","4020110.34","8"
"Canada Energy Regulator",2022,"TN","2820656.52","108"
"Canada Energy Regulator",2022,"TC","2004163.59","65"
"Canada Energy Regulator",2022,"AC","904126.90","12"
"Canada Energy Regulator",2023,"OB","9289353.71","87"
"Canada Energy Regulator",2023,"ST","3288996.21","11"
"Canada Energy Regulator",2023,"TN","2227340.91","89"
"Canada Energy Regulator",2023,"TC","1796279.02","40"
"Canada Energy Regulator",2023,"AC","286849.80","5"
"Canada Energy Regulator",2024,"OB","7831265.03","70"
"Canada Energy Regulator",2024,"TN","3289950.12","82"
"Canada Energy Regulator",2024,"ST","3153467.61","14"
"Canada Energy Regulator",2024,"TC","1520947.45","32"
"Canada Energy Regulator",2024,"AC","286849.80","4"
"Canada Energy Regulator",2025,"OB","8887557.65","40"
"Canada Energy Regulator",2025,"ST","3315065.03","9"
"Canada Energy Regulator",2025,"TN","2284299.73","81"
"Canada Energy Regulator",2025,"TC","914095.97","26"
"Canada Energy Regulator",2025,"AC","286849.80","3"
"Canada Energy Regulator",2026,"OB","3599472.15","14"
"Canada Energy Regulator",2026,"ST","3075435.26","3"
"Canada Energy Regulator",2026,"TN","1163567.23","46"
"Canada Energy Regulator",2026,"TC","505223.69","16"
"Canada Energy Regulator",2026,"AC","248965.80","2"
"Canada Revenue Agency",2017,"OB","46527958.21","597"
"Canada Revenue Agency",2017,"TN","9770554.67","129"
"Canada Revenue Agency",2017,"TC","3245380.39","40"
"Canada Revenue Agency",2017,"AC","1287775.04","11"
"Canada Revenue Agency",2017,"ST","79066.10","1"
"Canada Revenue Agency",2018,"OB","95519721.74","582"
"Canada Revenue Agency",2018,"TN","16478259.06","222"
"Canada Revenue Agency",2018,"TC","12688948.04","75"
"Canada Revenue Agency",2018,"AC","981139.40","15"
"Canada Revenue Agency",2019,"OB","121304822.42","506"
"Canada Revenue Agency",2019,"TN","20557792.36","257"
"Canada Revenue Agency",2019,"TC","2148064.16","61"
"Canada Revenue Agency",2019,"AC","1039868.65","15"
"Canada Revenue Agency",2020,"OB","136478571.43","541"
"Canada Revenue Agency",2020,"TN","23806565.86","280"
"Canada Revenue Agency",2020,"TC","3016504.45","62"
"Canada Revenue Agency",2020,"AC","972334.45","13"
"Canada Revenue Agency",2021,"OB","161287514.12","559"
"Canada Revenue Agency",2021,"TN","35443629.51","256"
"Canada Revenue Agency",2021,"TC","3231724.24","58"
"Canada Revenue Agency",2021,"AC","862095.18","12"
"Canada Revenue Agency",2022,"OB","203772903.85","1062"
"Canada Revenue Agency",2022,"TN","34424971.07","298"
"Canada Revenue Agency",2022,"TC","2734429.01","62"
"Canada Revenue Agency",2022,"AC","1209218.54","9"
"Canada Revenue Agency",2023,"OB","159179793.17","667"
"Canada Revenue Agency",2023,"TN","49685366.37","372"
"Canada Revenue Agency",2023,"TC","7141462.46","71"
"Canada Revenue Agency",2023,"AC","876463.79","16"
"Canada Revenue Agency",2023,"ST","401211.75","3"
"Canada Revenue Agency",2024,"OB","123317695.63","391"
"Canada Revenue Agency",2024,"TN","48189071.65","304"
"Canada Revenue Agency",2024,"TC","7688010.86","87"
"Canada Revenue Agency",2024,"AC","839446.52","14"
"Canada Revenue Agency",2024,"ST","571281.66","5"
"Canada Revenue Agency",2025,"OB","83547629.76","238"
"Canada Revenue Agency",2025,"TN","46790193.73","259"
"Canada Revenue Agency",2025,"TC","8781506.71","67"
"Canada Revenue Agency",2025,"ST","736891.33","6"
"Canada Revenue Agency",2025,"AC","658508.60","5"
"Canada Revenue Agency",2026,"OB","40085025.71","68"
"Canada Revenue Agency",2026,"TN","28924635.33","93"
"Canada Revenue Agency",2026,"TC","3641204.56","40"
"Canada Revenue Agency",2026,"AC","587559.56","1"
"Canada Revenue Agency",2026,"ST","537966.87","3"
"Canada School of Public Service",2017,"TN","2893826.36","11"
"Canada School of Public Service",2017,"TC","2816608.30","60"
"Canada School of Public Service",2017,"OB","126552.11","4"
"Canada School of Public Service",2018,"TN","3470107.52","25"
"Canada School of Public Service",2018,"TC","3278803.75","94"
"Canada School of Public Service",2018,"OB","474932.32","10"
"Canada School of Public Service",2019,"TC","5393734.46","132"
"Canada School of Public Service",2019,"TN","1434385.39","46"
"Canada School of Public Service",2019,"OB","695016.73","13"
"Canada School of Public Service",2020,"OB","7319158.06","23"
"Canada School of Public Service",2020,"TN","1712426.41","63"
"Canada School of Public Service",2020,"TC","1658553.81","58"
"Canada School of Public Service",2020,"ST","91641.12","7"
"Canada School of Public Service",2021,"OB","7397629.20","19"
"Canada School of Public Service",2021,"TN","1490656.07","53"
"Canada School of Public Service",2021,"ST","1070141.59","35"
"Canada School of Public Service",2021,"TC","1029618.27","24"
"Canada School of Public Service",2022,"OB","8018307.36","13"
"Canada School of Public Service",2022,"ST","2202610.43","59"
"Canada School of Public Service",2022,"TN","1497574.65","69"
"Canada School of Public Service",2022,"TC","346030.02","7"
"Canada School of Public Service",2023,"OB","7896753.60","19"
"Canada School of Public Service",2023,"ST","3742068.79","71"
"Canada School of Public Service",2023,"TN","1401679.44","81"
"Canada School of Public Service",2023,"TC","304158.80","7"
"Canada School of Public Service",2024,"OB","8729602.90","14"
"Canada School of Public Service",2024,"ST","1861923.36","45"
"Canada School of Public Service",2024,"TN","1284469.76","74"
"Canada School of Public Service",2024,"TC","328518.76","4"
"Canada School of Public Service",2024,"AC","41546.33","1"
"Canada School of Public Service",2025,"OB","10326464.07","21"
"Canada School of Public Service",2025,"ST","2443632.18","48"
"Canada School of Public Service",2025,"TN","1487421.12","82"
"Canada School of Public Service",2025,"AC","116759.24","3"
"Canada School of Public Service",2025,"TC","104212.83","1"
"Canada School of Public Service",2026,"OB","8714387.61","14"
"Canada School of Public Service",2026,"ST","1067046.66","22"
"Canada School of Public Service",2026,"TN","691178.46","44"
"Canada School of Public Service",2026,"AC","128838.68","2"
"Canada School of Public Service",2026,"TC","90692.38","0"
"Canada Water Agency",2017,"TC","28281.64","1"
"Canada Water Agency",2018,"TC","28281.64","1"
"Canada Water Agency",2019,"TC","28281.64","1"
"Canada Water Agency",2020,"TC","28281.64","1"
"Canada Water Agency",2021,"TC","28281.64","1"
"Canada Water Agency",2022,"ST","39280.84","1"
"Canada Water Agency",2022,"TC","28281.64","1"
"Canada Water Agency",2023,"ST","39280.84","1"
"Canada Water Agency",2023,"TC","38851.02","2"
"Canada Water Agency",2024,"ST","169262.03","5"
"Canada Water Agency",2024,"TN","136565.10","9"
"Canada Water Agency",2024,"TC","38851.02","2"
"Canada Water Agency",2025,"TN","917236.78","47"
"Canada Water Agency",2025,"TC","207995.65","5"
"Canada Water Agency",2025,"OB","166981.83","2"
"Canada Water Agency",2025,"ST","89565.84","1"
"Canada Water Agency",2026,"TN","659283.88","36"
"Canada Water Agency",2026,"OB","166981.83","2"
"Canada Water Agency",2026,"TC","97747.76","3"
"Canadian Centre for Occupational Health and Safety",2017,"TN","483236.95","19"
"Canadian Centre for Occupational Health and Safety",2017,"TC","9593.87","2"
"Canadian Centre for Occupational Health and Safety",2018,"TN","682120.40","31"
"Canadian Centre for Occupational Health and Safety",2018,"OB","50883.69","1"
"Canadian Centre for Occupational Health and Safety",2018,"TC","16078.99","3"
"Canadian Centre for Occupational Health and Safety",2019,"TN","512580.55","23"
"Canadian Centre for Occupational Health and Safety",2019,"OB","50883.69","1"
"Canadian Centre for Occupational Health and Safety",2019,"TC","46643.65","4"
"Canadian Centre for Occupational Health and Safety",2020,"TN","636970.07","26"
"Canadian Centre for Occupational Health and Safety",2020,"OB","219615.58","3"
"Canadian Centre for Occupational Health and Safety",2020,"TC","71816.29","6"
"Canadian Centre for Occupational Health and Safety",2020,"ST","38848.03","3"
"Canadian Centre for Occupational Health and Safety",2021,"TN","575097.65","29"
"Canadian Centre for Occupational Health and Safety",2021,"OB","219615.58","1"
"Canadian Centre for Occupational Health and Safety",2021,"ST","173492.63","4"
"Canadian Centre for Occupational Health and Safety",2021,"TC","30661.92","5"
"Canadian Centre for Occupational Health and Safety",2022,"TN","877317.36","42"
"Canadian Centre for Occupational Health and Safety",2022,"OB","344600.40","2"
"Canadian Centre for Occupational Health and Safety",2022,"ST","99901.46","4"
"Canadian Centre for Occupational Health and Safety",2022,"TC","72692.65","7"
"Canadian Centre for Occupational Health and Safety",2023,"TN","1069967.75","40"
"Canadian Centre for Occupational Health and Safety",2023,"OB","176403.38","2"
"Canadian Centre for Occupational Health and Safety",2023,"ST","103993.53","4"
"Canadian Centre for Occupational Health and Safety",2023,"TC","102164.84","7"
"Canadian Centre for Occupational Health and Safety",2024,"TN","1060863.59","38"
"Canadian Centre for Occupational Health and Safety",2024,"ST","197136.02","6"
"Canadian Centre for Occupational Health and Safety",2024,"OB","137630.28","3"
"Canadian Centre for Occupational Health and Safety",2024,"TC","83371.51","5"
"Canadian Centre for Occupational Health and Safety",2025,"TN","955024.56","40"
"Canadian Centre for Occupational Health and Safety",2025,"ST","122808.96","5"
"Canadian Centre for Occupational Health and Safety",2025,"OB","109132.69","3"
"Canadian Centre for Occupational Health and Safety",2025,"TC","7276.75","3"
"Canadian Centre for Occupational Health and Safety",2026,"TN","474082.18","16"
"Canadian Centre for Occupational Health and Safety",2026,"ST","115915.25","3"
"Canadian Centre for Occupational Health and Safety",2026,"OB","27634.15","1"
"Canadian Food Inspection Agency",2017,"TC","19512715.55","279"
"Canadian Food Inspection Agency",2017,"OB","11240444.62","90"
"Canadian Food Inspection Agency",2017,"TN","6265271.91","173"
"Canadian Food Inspection Agency",2017,"ST","497922.88","4"
"Canadian Food Inspection Agency",2017,"AC","323112.50","2"
"Canadian Food Inspection Agency",2018,"TC","35258651.36","392"
"Canadian Food Inspection Agency",2018,"TN","5988822.49","235"
"Canadian Food Inspection Agency",2018,"OB","5836192.18","65"
"Canadian Food Inspection Agency",2018,"ST","1901863.99","7"
"Canadian Food Inspection Agency",2018,"AC","1224792.81","9"
"Canadian Food Inspection Agency",2019,"TC","28110741.60","344"
"Canadian Food Inspection Agency",2019,"OB","8923377.21","82"
"Canadian Food Inspection Agency",2019,"TN","7521436.69","227"
"Canadian Food Inspection Agency",2019,"ST","2538861.71","9"
"Canadian Food Inspection Agency",2019,"AC","1247792.26","11"
"Canadian Food Inspection Agency",2020,"OB","18241933.27","95"
"Canadian Food Inspection Agency",2020,"TC","15603407.47","210"
"Canadian Food Inspection Agency",2020,"TN","8497825.79","216"
"Canadian Food Inspection Agency",2020,"ST","3584337.63","15"
"Canadian Food Inspection Agency",2020,"AC","1343687.49","8"
"Canadian Food Inspection Agency",2021,"OB","25369189.10","117"
"Canadian Food Inspection Agency",2021,"TC","16434709.80","222"
"Canadian Food Inspection Agency",2021,"ST","12981813.03","57"
"Canadian Food Inspection Agency",2021,"TN","11610531.13","274"
"Canadian Food Inspection Agency",2021,"AC","2033385.92","10"
